#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
203,,2.7383e-12,0,0,0,1,1,0,0,1,0,1,0
204,,3.7796e-12,0,0,0,1,1,0,0,1,0,1,1
205,,2.4547e-08,0,0,0,1,1,0,0,1,1,0,0
206,,2.4572e-11,0,0,0,1,1,0,0,1,1,0,1
207,,5.6939e-15,0,0,0,1,1,0,0,1,1,1,0
208,,1.8092e-16,0,0,0,1,1,0,0,1,1,1,1
209,,5.8782e-08,0,0,0,1,1,0,1,0,0,0,0
210,,5.3212e-09,0,0,0,1,1,0,1,0,0,0,1
211,,2.7373e-12,0,0,0,1,1,0,1,0,0,1,0
212,,1.328e-11,0,0,0,1,1,0,1,0,0,1,1
213,,5.3711e-07,0,0,0,1,1,0,1,0,1,0,0
214,,1.9231e-09,0,0,0,1,1,0,1,0,1,0,1
215,,1.8209e-14,0,0,0,1,1,0,1,0,1,1,0
216,,2.2064e-12,0,0,0,1,1,0,1,0,1,1,1
217,,5.8531e-11,0,0,0,1,1,0,1,1,0,0,0
218,,4.4127e-13,0,0,0,1,1,0,1,1,0,0,1
219,,2.9352e-15,0,0,0,1,1,0,1,1,0,1,0
220,,3.997e-12,0,0,0,1,1,0,1,1,0,1,1
221,,2.4573e-11,0,0,0,1,1,0,1,1,1,0,0
222,,3.4415e-13,0,0,0,1,1,0,1,1,1,0,1
223,,6.1904e-18,0,0,0,1,1,0,1,1,1,1,0
224,,4.5557e-16,0,0,0,1,1,0,1,1,1,1,1
225,,5.8998e-08,0,0,0,1,1,1,0,0,0,0,0
226,,1.1725e-10,0,0,0,1,1,1,0,0,0,0,1
227,,2.7421e-12,0,0,0,1,1,1,0,0,0,1,0
228,,1.1158e-14,0,0,0,1,1,1,0,0,0,1,1
229,,4.2687e-06,0,0,0,1,1,1,0,0,1,0,0
230,,4.3788e-09,0,0,0,1,1,1,0,0,1,0,1
231,,9.1411e-12,0,0,0,1,1,1,0,0,1,1,0
232,,1.1061e-13,0,0,0,1,1,1,0,0,1,1,1
233,,5.8539e-11,0,0,0,1,1,1,0,1,0,0,0
234,,2.0425e-13,0,0,0,1,1,1,0,1,0,0,1
235,,2.7494e-15,0,0,0,1,1,1,0,1,0,1,0
236,,5.6332e-15,0,0,0,1,1,1,0,1,0,1,1
237,,3.8691e-11,0,0,0,1,1,1,0,1,1,0,0
238,,1.8185e-13,0,0,0,1,1,1,0,1,1,0,1
239,,4.1327e-16,0,0,0,1,1,1,0,1,1,1,0
240,,1.3391e-17,0,0,0,1,1,1,0,1,1,1,1
241,,5.8875e-08,0,0,0,1,1,1,1,0,0,0,0
242,,7.3064e-12,0,0,0,1,1,1,1,0,0,0,1
243,,1.7515e-10,0,0,0,1,1,1,1,0,0,1,0
244,,1.2399e-10,0,0,0,1,1,1,1,0,0,1,1
245,,2.7345e-06,0,0,0,1,1,1,1,0,1,0,0
246,,4.5896e-09,0,0,0,1,1,1,1,0,1,0,1
247,,1.3433e-10,0,0,0,1,1,1,1,0,1,1,0
248,,2.1786e-09,0,0,0,1,1,1,1,0,1,1,1
249,,5.8611e-11,0,0,0,1,1,1,1,1,0,0,0
250,,4.8188e-15,0,0,0,1,1,1,1,1,0,0,1
251,,1.8027e-13,0,0,0,1,1,1,1,1,0,1,0
252,,4.0677e-11,0,0,0,1,1,1,1,1,0,1,1
253,,2.5103e-11,0,0,0,1,1,1,1,1,1,0,0
254,,7.0178e-15,0,0,0,1,1,1,1,1,1,0,1
255,,2.0696e-15,0,0,0,1,1,1,1,1,1,1,0
256,,1.3717e-13,0,0,0,1,1,1,1,1,1,1,1
257,,0.00019948,0,0,1,0,0,0,0,0,0,0,0
258,,2.279e-07,0,0,1,0,0,0,0,0,0,0,1
259,,1.982e-07,0,0,1,0,0,0,0,0,0,1,0
260,,4.0252e-10,0,0,1,0,0,0,0,0,0,1,1
261,,7.8739e-05,0,0,1,0,0,0,0,0,1,0,0
262,,7.8866e-08,0,0,1,0,0,0,0,0,1,0,1
263,,3.7138e-09,0,0,1,0,0,0,0,0,1,1,0
264,,3.7316e-12,0,0,1,0,0,0,0,0,1,1,1
265,,1.9967e-07,0,0,1,0,0,0,0,1,0,0,0
266,,5.8606e-08,0,0,1,0,0,0,0,1,0,0,1
267,,2.0872e-10,0,0,1,0,0,0,0,1,0,1,0
268,,2.0016e-07,0,0,1,0,0,0,0,1,0,1,1
269,,3.7537e-09,0,0,1,0,0,0,0,1,1,0,0
270,,6.5672e-12,0,0,1,0,0,0,0,1,1,0,1
271,,3.3398e-13,0,0,1,0,0,0,0,1,1,1,0
272,,3.8537e-12,0,0,1,0,0,0,0,1,1,1,1
273,,1.9968e-07,0,0,1,0,0,0,1,0,0,0,0
274,,6.9561e-10,0,0,1,0,0,0,1,0,0,0,1
275,,2.0924e-10,0,0,1,0,0,0,1,0,0,1,0
276,,4.0106e-09,0,0,1,0,0,0,1,0,0,1,1
277,,7.8822e-08,0,0,1,0,0,0,1,0,1,0,0
