Attractor #,Associated Cell Fate,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1,
277,,7.7811e-08,0,0,1,0,0,0,1,0,1,0,0,
278,,5.4087e-09,0,0,1,0,0,0,1,0,1,0,1,
279,,3.9714e-12,0,0,1,0,0,0,1,0,1,1,0,
280,,1.0082e-10,0,0,1,0,0,0,1,0,1,1,1,
281,,1.9805e-10,0,0,1,0,0,0,1,1,0,0,0,
282,,5.8653e-11,0,0,1,0,0,0,1,1,0,0,1,
283,,8.0398e-13,0,0,1,0,0,0,1,1,0,1,0,
284,,1.3086e-08,0,0,1,0,0,0,1,1,0,1,1,
285,,3.7094e-12,0,0,1,0,0,0,1,1,1,0,0,
286,,2.4403e-13,0,0,1,0,0,0,1,1,1,0,1,
287,,5.3424e-16,0,0,1,0,0,0,1,1,1,1,0,
288,,4.5706e-14,0,0,1,0,0,0,1,1,1,1,1,
289,,3.1235e-07,0,0,1,0,0,1,0,0,0,0,0,
290,,5.3878e-10,0,0,1,0,0,1,0,0,0,0,1,
291,,2.1191e-10,0,0,1,0,0,1,0,0,0,1,0,
292,,5.0622e-12,0,0,1,0,0,1,0,0,0,1,1,
293,,7.9322e-08,0,0,1,0,0,1,0,0,1,0,0,
294,,9.6638e-11,0,0,1,0,0,1,0,0,1,0,1,
295,,3.6628e-12,0,0,1,0,0,1,0,0,1,1,0,
296,,4.3772e-12,0,0,1,0,0,1,0,0,1,1,1,
297,,2.0304e-10,0,0,1,0,0,1,0,1,0,0,0,
298,,5.9711e-11,0,0,1,0,0,1,0,1,0,0,1,
299,,2.2003e-13,0,0,1,0,0,1,0,1,0,1,0,
300,,2.0146e-10,0,0,1,0,0,1,0,1,0,1,1,
301,,3.6807e-12,0,0,1,0,0,1,0,1,1,0,0,
302,,7.7632e-15,0,0,1,0,0,1,0,1,1,0,1,
303,,2.6786e-16,0,0,1,0,0,1,0,1,1,1,0,
304,,4.6199e-15,0,0,1,0,0,1,0,1,1,1,1,
305,,1.1625e-07,0,0,1,0,0,1,1,0,0,0,0,
306,,4.8141e-11,0,0,1,0,0,1,1,0,0,0,1,
307,,2.2567e-07,0,0,1,0,0,1,1,0,0,1,0,
308,,9.6606e-08,0,0,1,0,0,1,1,0,0,1,1,
309,,8.1165e-08,0,0,1,0,0,1,1,0,1,0,0,
310,,9.5835e-08,0,0,1,0,0,1,1,0,1,0,1,
311,,4.8168e-10,0,0,1,0,0,1,1,0,1,1,0,
312,,9.5976e-08,0,0,1,0,0,1,1,0,1,1,1,
